provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
DKI Jakarta,1447,558320,0,1179,22906,2580,18682,19163,Negeri,2021,SD
Jawa Barat,17424,3903979,0,5485,161443,11557,141995,132115,Negeri,2021,SD
Jawa Tengah,17547,2378205,0,2013,140464,12192,114684,122046,Negeri,2021,SD
DI Yogyakarta,1425,195795,0,60,13394,2066,9891,10606,Negeri,2021,SD
Jawa Timur,17105,2258842,0,1971,148814,12051,117206,124470,Negeri,2021,SD
Aceh,3335,454603,0,742,41819,3196,23538,27320,Negeri,2021,SD
Sumatera Utara,8262,1247205,0,2699,81414,5849,60519,65146,Negeri,2021,SD
Sumatera Barat,3981,548253,0,962,38071,5385,28327,30998,Negeri,2021,SD
Riau,3210,643438,0,907,39714,3451,28733,31019,Negeri,2021,SD
Jambi,2316,339955,0,516,23012,2520,17248,19254,Negeri,2021,SD
Sumatera Selatan,4262,812885,0,1761,49240,5238,35817,36767,Negeri,2021,SD
Lampung,4337,736382,0,712,46589,2867,34354,36390,Negeri,2021,SD
Kalimantan Barat,4132,512806,0,795,31389,1911,28455,30055,Negeri,2021,SD
Kalimantan Tengah,2416,234534,0,338,20677,964,15651,17501,Negeri,2021,SD
Kalimantan Selatan,2769,332296,0,495,25299,2328,19369,20994,Negeri,2021,SD
Kalimantan Timur,1650,347886,0,610,20798,2912,15446,15725,Negeri,2021,SD
Sulawesi Utara,1361,131692,0,415,10830,401,8725,9463,Negeri,2021,SD
Sulawesi Tengah,2671,281699,0,758,21863,3817,17190,20851,Negeri,2021,SD
Sulawesi Selatan,6087,817052,0,1488,59355,6984,43011,45149,Negeri,2021,SD
Sulawesi Tenggara,2255,280749,0,629,21387,1472,15712,18095,Negeri,2021,SD
Maluku,1273,149799,0,707,11875,1036,8376,9680,Negeri,2021,SD
Bali,2274,348481,0,83,21022,3518,15713,16482,Negeri,2021,SD
Nusa Tenggara Barat,3012,477686,0,1185,34525,2559,21342,23135,Negeri,2021,SD
Nusa Tenggara Timur,3365,427555,0,1237,31652,3188,23402,29411,Negeri,2021,SD
Papua,1629,276662,0,1150,10321,493,11006,12413,Negeri,2021,SD
Bengkulu,1304,179930,0,290,12830,1208,9502,10642,Negeri,2021,SD
Maluku Utara,1106,117453,0,629,8757,686,7064,8068,Negeri,2021,SD
Banten,3912,993246,0,1015,41490,2943,35098,33084,Negeri,2021,SD
Kepulauan Bangka Belitung,760,147951,0,268,7886,1799,6106,7649,Negeri,2021,SD
Gorontalo,896,105713,0,394,7141,685,5812,6939,Negeri,2021,SD
Kepulauan Riau,683,155760,0,133,8728,1582,6638,6468,Negeri,2021,SD
Papua Barat,686,82623,0,401,5069,224,4751,4910,Negeri,2021,SD
Sulawesi Barat,1297,140669,0,334,11623,1722,8611,9582,Negeri,2021,SD
Kalimantan Utara,435,69898,0,223,5106,602,3656,3796,Negeri,2021,SD
Luar Negeri,87,10666,0,59,346,12,612,613,Negeri,2021,SD
DKI Jakarta,921,224134,0,312,14741,1839,9725,11563,Swasta,2021,SD
Jawa Barat,2215,549000,0,621,31969,3328,22878,25587,Swasta,2021,SD
Jawa Tengah,1237,305510,0,183,16400,1799,12800,13730,Swasta,2021,SD
DI Yogyakarta,422,84163,0,37,5250,803,3838,4127,Swasta,2021,SD
Jawa Timur,1952,392950,0,497,22901,2109,17858,19139,Swasta,2021,SD
Aceh,178,34228,0,59,2255,219,1517,1748,Swasta,2021,SD
Sumatera Utara,1528,339903,0,822,17069,1239,13761,15114,Swasta,2021,SD
Sumatera Barat,264,60673,0,72,3715,472,2644,3039,Swasta,2021,SD
Riau,544,134413,0,193,7667,635,5623,6279,Swasta,2021,SD
Jambi,148,31969,0,72,1906,184,1412,1671,Swasta,2021,SD
Sumatera Selatan,423,83285,0,112,5036,590,3787,4061,Swasta,2021,SD
Lampung,394,77533,0,166,4789,414,3573,4055,Swasta,2021,SD
Kalimantan Barat,286,59158,0,144,2915,290,2466,2678,Swasta,2021,SD
Kalimantan Tengah,223,41980,0,70,2233,163,1791,1984,Swasta,2021,SD
Kalimantan Selatan,169,33661,0,41,2200,192,1484,1639,Swasta,2021,SD
Kalimantan Timur,251,63435,0,58,3315,421,2619,2983,Swasta,2021,SD
Sulawesi Utara,854,82847,0,192,5357,175,5448,5919,Swasta,2021,SD
Sulawesi Tengah,243,24711,0,60,1918,186,1621,1760,Swasta,2021,SD
Sulawesi Selatan,321,64431,0,54,4118,321,2936,3239,Swasta,2021,SD
Sulawesi Tenggara,77,11264,0,12,700,67,575,589,Swasta,2021,SD
Maluku,531,59529,0,95,3788,236,3367,4095,Swasta,2021,SD
Bali,143,39105,0,9,2376,330,1614,1732,Swasta,2021,SD
Nusa Tenggara Barat,257,33825,0,140,2323,188,1767,1967,Swasta,2021,SD
Nusa Tenggara Timur,1819,255407,0,628,16051,1637,12926,16780,Swasta,2021,SD
Papua,967,174897,0,844,6398,349,6860,7654,Swasta,2021,SD
Bengkulu,93,19348,0,18,1479,151,892,1030,Swasta,2021,SD
Maluku Utara,204,22603,0,55,1327,98,1278,1366,Swasta,2021,SD
Banten,718,186646,0,190,10807,853,7765,8814,Swasta,2021,SD
Kepulauan Bangka Belitung,66,15743,0,19,913,165,633,736,Swasta,2021,SD
Gorontalo,30,3788,0,9,240,32,196,203,Swasta,2021,SD
Kepulauan Riau,285,70691,0,46,4177,391,2986,3535,Swasta,2021,SD
Papua Barat,402,47994,0,188,2756,139,2704,2845,Swasta,2021,SD
Sulawesi Barat,28,3971,0,12,229,41,216,222,Swasta,2021,SD
Kalimantan Utara,46,8959,0,19,531,62,402,472,Swasta,2021,SD
Luar Negeri,42,4831,0,24,139,1,262,222,Swasta,2021,SD
DKI Jakarta,1308,546713,0,457,23488,2527,18523,17044,Negeri,2022,SD
Jawa Barat,17302,3883339,0,4767,160813,12971,141935,125154,Negeri,2022,SD
Jawa Tengah,17472,2322013,0,2043,139771,12541,114300,117530,Negeri,2022,SD
DI Yogyakarta,1423,190728,0,51,13372,2083,9849,10235,Negeri,2022,SD
Jawa Timur,16980,2184504,0,2155,146145,12935,116523,119014,Negeri,2022,SD
Aceh,3336,451027,0,993,42509,3572,23750,24534,Negeri,2022,SD
Sumatera Utara,8205,1204565,0,3005,83604,6808,60483,61135,Negeri,2022,SD
Sumatera Barat,3962,531193,0,730,38468,5563,28254,28612,Negeri,2022,SD
Riau,3221,634909,0,868,39682,3836,28814,27740,Negeri,2022,SD
Jambi,2308,335196,0,626,22834,2694,17282,17215,Negeri,2022,SD
Sumatera Selatan,4252,796801,0,1796,50140,5773,36132,33374,Negeri,2022,SD
Lampung,4314,719438,0,775,48403,3596,34428,33290,Negeri,2022,SD
Kalimantan Barat,4139,504176,0,977,32505,2249,28585,27334,Negeri,2022,SD
Kalimantan Tengah,2412,232282,0,459,20698,1112,15682,16032,Negeri,2022,SD
Kalimantan Selatan,2740,323293,0,515,25204,2443,19179,19697,Negeri,2022,SD
Kalimantan Timur,1652,346884,0,567,20778,3007,15572,14270,Negeri,2022,SD
Sulawesi Utara,1344,132584,0,294,11378,486,8746,9054,Negeri,2022,SD
Sulawesi Tengah,2670,281651,0,926,22424,4052,17320,18075,Negeri,2022,SD
Sulawesi Selatan,6082,811242,0,1675,59957,7373,43229,42338,Negeri,2022,SD
Sulawesi Tenggara,2257,279295,0,678,22474,2149,15899,16032,Negeri,2022,SD
Maluku,1276,148988,0,465,12262,1171,8423,8682,Negeri,2022,SD
Bali,2265,343632,0,154,20906,3806,15696,15715,Negeri,2022,SD
Nusa Tenggara Barat,3011,472110,0,944,36365,2833,21664,20622,Negeri,2022,SD
Nusa Tenggara Timur,3378,417555,0,2303,33146,3567,23660,25593,Negeri,2022,SD
Papua,1664,288283,0,1738,11097,565,11475,10829,Negeri,2022,SD
Bengkulu,1290,173543,0,266,13072,1379,9439,10155,Negeri,2022,SD
Maluku Utara,1110,117634,0,493,9338,842,7100,7315,Negeri,2022,SD
Banten,3895,996698,0,1221,41415,3322,35440,31242,Negeri,2022,SD
Kepulauan Bangka Belitung,760,146317,0,219,7932,1816,6122,6527,Negeri,2022,SD
Gorontalo,896,103914,0,514,7213,825,5827,6402,Negeri,2022,SD
Kepulauan Riau,684,154066,0,167,8810,1701,6704,5698,Negeri,2022,SD
Papua Barat,700,82955,0,342,6038,302,4907,4575,Negeri,2022,SD
Sulawesi Barat,1297,139578,0,399,12200,2211,8723,8594,Negeri,2022,SD
Kalimantan Utara,437,69072,0,138,5076,616,3683,3443,Negeri,2022,SD
Luar Negeri,87,10972,0,64,348,13,615,539,Negeri,2022,SD
DKI Jakarta,931,218377,0,358,14661,1949,9696,10945,Swasta,2022,SD
Jawa Barat,2357,567595,0,505,33335,3666,24052,25816,Swasta,2022,SD
Jawa Tengah,1288,309161,0,169,16157,1932,13212,13913,Swasta,2022,SD
DI Yogyakarta,425,83710,0,48,5254,833,3890,4056,Swasta,2022,SD
Jawa Timur,2027,395409,0,499,22877,2279,18310,19125,Swasta,2022,SD
Aceh,193,35931,0,67,2538,248,1635,1692,Swasta,2022,SD
Sumatera Utara,1577,344087,0,762,16967,1347,14187,14787,Swasta,2022,SD
Sumatera Barat,298,66025,0,48,4173,536,2927,3087,Swasta,2022,SD
Riau,570,138617,0,183,8071,677,5862,6037,Swasta,2022,SD
Jambi,155,33498,0,38,2031,196,1498,1527,Swasta,2022,SD
Sumatera Selatan,444,85733,0,91,5207,642,3960,4101,Swasta,2022,SD
Lampung,418,80181,0,74,4894,476,3750,3895,Swasta,2022,SD
Kalimantan Barat,299,61472,0,115,3056,313,2583,2669,Swasta,2022,SD
Kalimantan Tengah,236,42758,0,90,2328,189,1863,1950,Swasta,2022,SD
Kalimantan Selatan,175,33626,0,19,2235,210,1544,1649,Swasta,2022,SD
Kalimantan Timur,267,65345,0,72,3444,447,2766,2893,Swasta,2022,SD
