Provinsi,Sekolah,Siswa,Mengulang,Putus Sekolah,Kepala Sekolah & Guru,Tenaga Kependidikan,Rombel,Ruang Kelas,Status
Prov. D.K.I. Jakarta,1305,534084,911,277,22331,2348,17965,17283,Negeri
Prov. Jawa Barat,16980,3892560,3221,4681,161501,12468,145289,128473,Negeri
Prov. Jawa Tengah,17254,2259455,4511,1185,134731,9797,113405,120181,Negeri
Prov. D.I. Yogyakarta,1418,182927,166,28,13389,1869,9778,10330,Negeri
Prov. Jawa Timur,16864,2097016,2976,1618,142338,9840,115820,121366,Negeri
Prov. Aceh,3336,453928,881,695,44062,4135,24398,25759,Negeri
Prov. Sumatera Utara,8116,1149616,2722,3030,86968,6662,60586,64341,Negeri
Prov. Sumatera Barat,3892,512533,2949,668,40852,5469,28401,29931,Negeri
Prov. Riau,3232,626689,2733,824,42205,4229,29355,29088,Negeri
Prov. Jambi,2302,331425,1303,739,25005,2964,17515,18721,Negeri
Prov. Sumatera Selatan,4250,790920,4199,1767,51751,6054,36991,34962,Negeri
Prov. Lampung,4295,711692,1411,696,48513,3555,34675,36876,Negeri
Prov. Kalimantan Barat,4139,493992,6421,982,34383,2985,28731,28482,Negeri
Prov. Kalimantan Tengah,2412,231066,1859,370,22340,1163,15863,16665,Negeri
Prov. Kalimantan Selatan,2737,315349,1690,346,25592,2512,19243,20433,Negeri
Prov. Kalimantan Timur,1664,352693,1113,489,21718,3055,15870,15023,Negeri
Prov. Sulawesi Utara,1349,137150,437,283,13628,511,8956,9458,Negeri
Prov. Sulawesi Tengah,2676,287380,1691,812,25427,6047,17789,19300,Negeri
Prov. Sulawesi Selatan,6071,802533,1989,1411,60428,6992,43781,44256,Negeri
Prov. Sulawesi Tenggara,2265,282647,1131,637,26516,2624,16469,16972,Negeri
Prov. Maluku,1299,148643,822,905,14642,1794,8677,9508,Negeri
Prov. Bali,2251,338502,94,107,21108,3693,15645,15999,Negeri
Prov. Nusa Tenggara Barat,3008,474323,875,944,40096,2689,22317,21788,Negeri
Prov. Nusa Tenggara Timur,3415,411297,3635,1737,38048,4112,24308,27768,Negeri
Prov. Papua,515,70293,870,372,4722,291,3772,3729,Negeri
Prov. Bengkulu,1289,171467,875,336,14710,1589,9622,10691,Negeri
Prov. Maluku Utara,1116,118093,715,610,11413,1162,7305,7720,Negeri
Prov. Banten,3853,1020399,1550,1552,42610,3472,36367,32438,Negeri
Prov. Kepulauan Bangka Belitung,761,142879,597,209,8146,1842,6151,6759,Negeri
Prov. Gorontalo,897,103294,962,392,7538,922,5865,6563,Negeri
Prov. Kepulauan Riau,683,153988,369,154,8923,1797,6749,6030,Negeri
Prov. Papua Barat,412,48552,1010,164,3917,171,2956,2820,Negeri
Prov. Sulawesi Barat,1296,138333,650,293,13587,2390,8956,9128,Negeri
Prov. Kalimantan Utara,437,70242,211,114,5138,647,3729,3587,Negeri
Luar Negeri,83,12536,51,35,332,10,640,555,Negeri
Prov. Papua Tengah,295,71294,1292,420,2949,99,2701,2423,Negeri
Prov. Papua Selatan,377,57447,2501,486,2732,127,2714,2481,Negeri
Prov. Papua Pegunungan,518,112406,5358,988,3095,59,4111,3344,Negeri
Prov. Papua Barat Daya,305,36044,898,205,3564,108,2269,2136,Negeri
Prov. D.K.I. Jakarta,918,212135,330,165,14597,1815,9524,11142,Swasta
Prov. Jawa Barat,2558,620397,215,508,36077,4029,26587,28865,Swasta
Prov. Jawa Tengah,1343,319228,110,168,16430,1934,13890,14951,Swasta
Prov. D.I. Yogyakarta,423,83347,26,26,5087,823,3917,4197,Swasta
Prov. Jawa Timur,2111,404776,399,523,23243,2284,19215,20448,Swasta
Prov. Aceh,207,40154,37,87,2614,287,1837,1952,Swasta
Prov. Sumatera Utara,1631,346857,562,955,17826,1350,14756,15839,Swasta
Prov. Sumatera Barat,327,73064,117,38,4622,592,3311,3599,Swasta
Prov. Riau,605,146184,263,131,8602,705,6265,6710,Swasta
Prov. Jambi,172,36401,59,42,2043,197,1659,1749,Swasta
Prov. Sumatera Selatan,489,92261,128,155,5620,699,4391,4629,Swasta
Prov. Lampung,447,86276,69,66,5238,477,4086,4547,Swasta
Prov. Kalimantan Barat,316,64197,249,61,3293,317,2746,2967,Swasta
Prov. Kalimantan Tengah,241,45359,132,63,2410,206,1975,2111,Swasta
Prov. Kalimantan Selatan,186,35716,55,30,2245,229,1692,1806,Swasta
Prov. Kalimantan Timur,280,70396,78,61,3696,477,2985,3163,Swasta
Prov. Sulawesi Utara,861,82629,221,162,4715,173,5510,5850,Swasta
Prov. Sulawesi Tengah,273,28740,44,53,1864,225,1847,1867,Swasta
Prov. Sulawesi Selatan,381,76723,65,97,4921,374,3593,3859,Swasta
Prov. Sulawesi Tenggara,87,14089,6,28,785,82,715,686,Swasta
Prov. Maluku,537,55552,327,364,2896,174,3388,3827,Swasta
Prov. Bali,156,43992,9,29,2604,323,1799,1895,Swasta
Prov. Nusa Tenggara Barat,344,43262,49,124,2952,240,2346,2209,Swasta
Prov. Nusa Tenggara Timur,1832,242072,2222,1028,14050,1679,12873,15529,Swasta
Prov. Papua,335,47619,425,297,2381,173,2397,2555,Swasta
Prov. Bengkulu,119,23246,6,25,1658,162,1097,1191,Swasta
Prov. Maluku Utara,202,22598,70,85,987,67,1283,1339,Swasta
Prov. Banten,799,202372,99,222,11710,1063,8742,9671,Swasta
Prov. Kepulauan Bangka Belitung,71,16775,3,6,938,215,694,790,Swasta
Prov. Gorontalo,36,5077,1,11,298,34,261,271,Swasta
Prov. Kepulauan Riau,305,73836,52,70,4585,386,3152,3555,Swasta
Prov. Papua Barat,162,22759,702,92,1256,71,1189,1182,Swasta
Prov. Sulawesi Barat,32,5114,3,1,305,52,271,257,Swasta
Prov. Kalimantan Utara,49,10486,26,34,602,85,477,459,Swasta
Luar Negeri,41,6253,19,7,139,0,301,235,Swasta
Prov. Papua Tengah,265,73273,1733,592,2056,67,2614,2261,Swasta
Prov. Papua Selatan,241,39392,2550,290,1331,80,1788,1802,Swasta
Prov. Papua Pegunungan,160,34363,114,216,881,33,1252,1102,Swasta
Prov. Papua Barat Daya,249,24564,354,67,1385,96,1641,1705,Swasta
