provinsi,sekolah,siswa,mengulang,putus_sekolah,kepala_sekolah_&_guru,tenaga_kependidikan,rombel,ruang_kelas,status,tahun,jenjang
Kalimantan Barat,4132,512806,0,795,31389,1911,28455,30055,Negeri,2021,SD
Kalimantan Tengah,2416,234534,0,338,20677,964,15651,17501,Negeri,2021,SD
Kalimantan Selatan,2769,332296,0,495,25299,2328,19369,20994,Negeri,2021,SD
Kalimantan Timur,1650,347886,0,610,20798,2912,15446,15725,Negeri,2021,SD
Kalimantan Utara,435,69898,0,223,5106,602,3656,3796,Negeri,2021,SD
Kalimantan Barat,286,59158,0,144,2915,290,2466,2678,Swasta,2021,SD
Kalimantan Tengah,223,41980,0,70,2233,163,1791,1984,Swasta,2021,SD
Kalimantan Selatan,169,33661,0,41,2200,192,1484,1639,Swasta,2021,SD
Kalimantan Timur,251,63435,0,58,3315,421,2619,2983,Swasta,2021,SD
Kalimantan Utara,46,8959,0,19,531,62,402,472,Swasta,2021,SD
Kalimantan Barat,4139,504176,0,977,32505,2249,28585,27334,Negeri,2022,SD
Kalimantan Tengah,2412,232282,0,459,20698,1112,15682,16032,Negeri,2022,SD
Kalimantan Selatan,2740,323293,0,515,25204,2443,19179,19697,Negeri,2022,SD
Kalimantan Timur,1652,346884,0,567,20778,3007,15572,14270,Negeri,2022,SD
Kalimantan Utara,437,69072,0,138,5076,616,3683,3443,Negeri,2022,SD
Kalimantan Barat,299,61472,0,115,3056,313,2583,2669,Swasta,2022,SD
Kalimantan Tengah,236,42758,0,90,2328,189,1863,1950,Swasta,2022,SD
Kalimantan Selatan,175,33626,0,19,2235,210,1544,1649,Swasta,2022,SD
Kalimantan Timur,267,65345,0,72,3444,447,2766,2893,Swasta,2022,SD
Kalimantan Utara,48,9457,0,24,558,75,426,418,Swasta,2022,SD
Kalimantan Barat,4140,499855,9504,1202,33093,2117,28644,27925,Negeri,2023,SD
Kalimantan Tengah,2414,232325,2588,632,21096,969,15778,16449,Negeri,2023,SD
Kalimantan Selatan,2738,318461,3104,492,25182,2305,19180,20102,Negeri,2023,SD
Kalimantan Timur,1657,351594,1953,587,21058,2877,15718,14886,Negeri,2023,SD
Kalimantan Utara,437,69906,337,169,5162,598,3691,3547,Negeri,2023,SD
Kalimantan Barat,307,63323,297,122,3260,303,2673,2823,Swasta,2023,SD
